Unnamed: 0,Title,Lyrics
47,異類,"作詞:邱建豪、阿夜、魁剛 作曲:邱建豪、阿夜 編曲:于京延 Agwen Yu、TRASH 請你現在就摧毀眼前的這個我 然後 然後 La, la-la-la-la 不被歸類無所謂 沒有名稱無所謂 就連給個標籤都嫌浪費 無法定義卻定讞 尚未理解卻曲解 急於將誰盼下不赦的罪 我的輪廓你無法洞繪 為何我卻因此成了異類 請你現在就摧毀眼前的這個我 請你現在就抹殺眼前的這個我 請你現在就消滅眼前的這個我 然後 然後 La,la-la-la-la La,la-la-la-la 沒有說話的是我 罪人也是我 滿身傷口的是我 兇手也是我 你代替著上天審判在眼前的惡魔 無法苟同的醜陋 對不起是我的罪不該以這種姿態 存在你的世界裡造成傷害快給我個痛快 根本不該存在 請你現在就摧毀眼前的這個我 (摧毀我) 請你現在就抹殺眼前的這個我 (快點) 請你現在就消滅眼前的這個我 因為那並不是我 La,la-la-la-la La,la-la-la-la 那並不是我 請你現在就摧毀眼前的這個我 請你現在就抹殺眼前的這個我 請你現在就消滅眼前的這個我 然後 然後 請你現在就摧毀眼前的這個我 請你現在就抹殺眼前的這個我 請你現在就消滅眼前的這個我 然後 然後 請你現在就消滅眼前的這個我 然後 然後 請試著擁抱 你從末看見的那個我"
48,Marry You,"It's a beautiful night, We're looking for something dumb to do. Hey baby, I think I wanna marry you. Is it the look in your eyes, Or is it this dancing juice? Who cares baby, I think I wanna marry you. Well I know this little chapel on the boulevard we can go, No one will know, Come on girl. Who cares if we're trashed got a pocket full of cash we can blow, Shots of patron, And it's on girl. Don't say no, no, no, no-no; Just say yeah, yeah, yeah, yeah-yeah; And we'll go, go, go, go-go. If you're ready, like I'm ready. Cause it's a beautiful night, We're looking for something dumb to do. Hey baby, I think I wanna marry you. Is it the look in your eyes, Or is it this dancing juice? Who cares baby, I think I wanna marry you. I'll go get a ring let the choir bells sing like oooh, So whatcha wanna do? Let's just run girl. If we wake up and you wanna break up that's cool. No, I won't blame you; It was fun girl. Don't say no, no, no, no-no; Just say yeah, yeah, yeah, yeah-yeah; And we'll go, go, go, go-go. If you're ready, like I'm ready. Cause it's a beautiful night, We're looking for something dumb to do. Hey baby, I think I wanna marry you. Is it the look in your eyes, Or is it this dancing juice? Who cares baby, I think I wanna marry you. Just say I do, Tell me right now baby, Tell me right now baby. baby Just say I do, Tell me right now baby, Tell me right now baby. Cause it's a beautiful night, We're looking for something dumb to do. Hey baby, I think I wanna marry you. Is it the look in your eyes, Or is it this dancing juice? Who cares baby, I think I wanna marry you."
49,Royals,"I've never seen a diamond in the flesh I cut my teeth on wedding rings in the movies And I'm not proud of my address In the torn up town, no post code envy But every song's like: Gold teeth, grey goose, tripping in the bathroom Bloodstains, ball gowns, trashing the hotel room We don't care, we're driving Cadillacs in our dreams But everybody's like: Crystal, maybach, diamonds on your timepiece Jet planes, islands, tigers on a gold leash We don't care, we aren't caught up in your love affair And we'll never be royals (royals) It don't run in our blood That kind of lux just ain't for us, we crave a different kind of buzz Let me be your ruler (ruler) You can call me queen bee And baby I'll rule (I'll rule, I'll rule, I'll rule) Let me live that fantasy My friends and I we've cracked the code We count our dollars on the train to the party And everyone who knows us knows That we're fine with this, we didn't come from money But every song's like: Gold teeth, grey goose, tripping in the bathroom Bloodstains, ball gowns, trashing the hotel room We don't care, we're driving Cadillacs in our dreams But everybody's like: Crystal, maybach, diamonds on your timepiece Jet planes, islands, tigers on a gold leash We don't care, we aren't caught up in your love affair And we'll never be royals (royals) It don't run in our blood That kind of lux just ain't for us, we crave a different kind of buzz Let me be your ruler (ruler) You can call me queen bee And baby I'll rule (I'll rule, I'll rule, I'll rule) Let me live that fantasy (ooh ooh ooh) We're better than we've every dreamed And I'm in love with being queen (ooh ooh ooh) Life is great without a care We aren't caught up in your love affair And we'll never be royals (royals) It don't run in our blood That kind of lux just ain't for us, we crave a different kind of buzz Let me be your ruler (ruler) You can call me queen bee And baby I'll rule (I'll rule, I'll rule, I'll rule) Let me live that fantasy"
50,emily,"And the worst of it all, I still believe in you And these nightmares we've kept In the heat of it all, I made an enemy Put our demons to rest So I'll swallow my pride and fall in line And you can just say that ""everything's fine"" But we both know that's not enough (Mmm) So I'll promise you I'll be the best thing for us Then I'll fight with your friends and I'll trash your apartment I'll lie to you screaming, ""I'd die for you"" Knowing how hard it'll be to get back where we started In Paris you asked me if I was afraid that wе'd fall out of love Would that be okay, Emily? And in spite of it all, you'rе still my everything When we're nothing at all Come to think of it all, you are the centerpiece Around which I revolve So I'll bury the hurt and wait my turn And we can pretend that people unlearn When we both know it's not enough (Mmm) So I'll promise you I'll be the best thing for us Then I'll fight with your friends and I'll trash your apartment I'll lie to you screaming, ""I'd die for you"" Knowing how hard it'll be to get back where we started In Paris you asked me if I was afraid that we'd fall out of love Would that be okay? Emily Emily"
51,還是該說再見,有時候突然感覺 世界不停的在變 轉眼間消失不見 妳那張純真的臉 是誰悄悄發現 那從前的從前 窗外風景的眷戀 有妳我的笑和淚 站在陌生的路邊 期盼未來再遇見 停止不了錯覺 它會開始在暈眩 當妳離去一瞬間 強忍不住淚水 不爭氣的為妳而崩洩 就算世界已經毀滅 剩下的不只是思念 還記得那年我們瘋癲 想對抗整個世界 殊不知夢想開始幻滅 才發現我好愚昧 感覺就快崩潰 請給我力量作對 當妳離去一瞬間 強忍不住淚水 不爭氣的為妳而崩洩 就算世界已經毀滅 剩下的不只是思念 當妳消失我面前 藏不住的傷悲 把我的身體四分五裂 沒有妳世界不完美 剩下我一個人慚愧 還是該說再見 當妳離去一瞬間 強忍不住淚水 不爭氣的為妳而崩洩 就算世界已經毀滅 剩下的不只是思念 當妳消失我面前 藏不住的傷悲 把我的身體四分五裂 沒有妳世界不完美 剩下我一個人慚愧 還是該說再見
52,Telepath,"Don't even finish that sentence, babe Already know how this ends You say, ""We're breakin' up,"" what a shame Don't even wanna stay friends God It's just so you, you're just so predictable Won't you try something original? Old news, reused, that's why I don't cry 'Cause I got a feeling You're comin' back just like you have in the past Yeah, I got a feeling You'll be sendin' me trash you should've left in the drafts Yeah, I got a feeling You'll see me moving on and hate that I'm gone I can see it, you're comin' back Call me a telepath Now's about the time the boredom hits (Oh look) There you are at my door Drunk and asking me for a kiss When yesterday you said that you hate my guts Now you're back in love? It's so you, you're just so predictable Won't you try something original? Old news, reused, that's why I don't cry 'Cause I got a feeling You're comin' back just like you have in the past Yeah, I got a feeling You'll be sendin' me trash you shoulda left in the drafts Yeah, I got a feeling You'll see me moving on and hate that I'm gone I can see it, you're comin' back Call me a telepath But, I betcha, I betcha I betcha, I betcha I'll call you when I'm cryin', yeah I betcha, I betcha I betcha, I betcha You'll return in perfect timing And I won't stop you from tryin' 'Cause I got a feeling You're comin' back just like you have in the past (Woah) Yeah, I got a feeling You'll be sendin' me trash you shoulda left in the drafts Yeah, I got a feeling (Inside) You'll see me moving on and hate that I'm gone I can see it, you're comin' back (Oh-woah) Call me a telepath La-la-la-la-la-la Call me a telepath, oh-woah Call me a telepath Call me a telepath, oh-woah Call me a telepath"
53,冷身操,眼皮不管多用力閉上 沒有辦法不一直想 逞強最後一點 輕輕地 夜晚揉成一團 一頭空心病的獸 凝視夢在螢幕裡閃 嗚咽為安全感 又放不下 逃跑的渴望 不需要誰來可憐我 shall we wait for the day back to birth as we were 忍一下 管自己怎麼想 let me fall hope you grow like the trash as they are 我當作 迴圈重複之前 作一組冷身操 所有範例教著如何飛 沒人懂得面對墜毀 手中驕傲一擲 才發現 原來是負累 每天都是未來的準備 每段過去仍然反悔 明天不會更好 只會更像昨天 不需要誰來可憐我 shall we wait for the day back to birth as we were 忍一下 管自己怎麼想 let me fall hope you grow like the trash as they are 我當作 迴圈重複之前 作一組冷身操
54,Unbreakable,"I wake up at dawn, in the twilight I put my makeup on and I’m alright Like I just got born with the sunrise Today I’m someone new, today I’m not me I never broke in two, today I’m set free I’m done with all the rules and how it should be I’m laughing last I’ll raise a glass to what’s to come, forget the past The damage done, let’s have some fun, let’s have some fun Let’s burn our bridges down and rise up from the ash Let’s turn it all around, we’re taking out the trash And now I’m finally found and I don’t have to ask I’m unbreakable, unbreakable Just like a fantasy and now I’m wide awake Now there’s so much to see and it’s all mine to take I can be anything that can never break I’m unbreakable, unbreakable When I need room to breathe, I take the whole world And nothing can touch me when I’m the it girl And that’s the way it is until I change my mind The road is paved with hearts, under my high heels I watch them fall apart just like I don’t feel what is done to me I left them all behind I’m laughing last I’ll raise a glass to what’s to come, forget the past The damage done, let’s have some fun, let’s have some fun Let’s burn our bridges down and rise up from the ash Let’s turn it all around, we’re taking out the trash And now I’m finally found and I don’t have to ask I’m unbreakable, unbreakable Just like a fantasy and now I’m wide awake Now there’s so much to see and it’s all mine to take I can be anything that can never break I’m unbreakable, unbreakable Let’s burn our bridges down and rise up from the ash Let’s turn it all around, we’re taking out the trash And now I’m finally found and I don’t have to ask I’m unbreakable, unbreakable Just like a fantasy and now I’m wide awake Now there’s so much to see and it’s all mine to take I can be anything that can never break I’m unbreakable, unbreakable Let’s burn our bridges down and rise up from the ash Let’s turn it all around, we’re taking out the trash And now I’m finally found and I don’t have to ask I’m unbreakable, unbreakable Just like a fantasy and now I’m wide awake Now there’s so much to see and it’s all mine to take I can be anything that can never break I’m unbreakable, unbreakable"
55,安怎講 (feat. 阿夜),我的腦袋 怎麼都停不下來 是不是代表 我思考從不間斷 不用做作 不用假裝虛偽笑容 我已開始活出真正的我 上工的時候 盡情享受快活 讓準備好的機會 不做白工 請你請你請你請你不免驚 讓自己放肆的靈魂 可以找得到家 請你請你請你請你用心聽 聽自己心內的聲 甘真正甲人同款 當你學會了獨立思考 你就是你自己的老闆 你就是你自己榜樣的榜樣 Go Be yourself 怕什麼 不需在別人的影子下生活 向前走 不要回頭 下定決心 就不顧一切去做 Be yourself 廢話 從來不囉唆 想要什麼 就自己去追求 Be yourself 不爽就直接說 我管你貓的安怎講 我的腦袋 怎麼都停不下來 是不是代表 我思考從不間斷 不用做作 不用假裝虛偽笑容 我已開始活出真正的我 上工的時候 盡情享受快活 讓準備好的機會 不做白工 請你請你請你請你不免驚 讓自己放肆的靈魂 可以找得到家 請你請你請你請你用心聽 聽自己心內的聲 甘真正甲人同款 當你學會了獨立思考 你就是你自己的老闆 你就是你自己榜樣的榜樣 Go Be yourself 怕什麼 不需在別人的影子下生活 向前走 不要回頭 下定決心 就不顧一切去做 Be yourself 廢話 從來不囉唆 想要什麼 就自己去追求 Be yourself 不爽就直接說 我管你貓的安怎講 說出的話 都自己擔 敢做就要敢當 傷人的錯 不要再犯 就在原諒中學會成長 成長後學會飛翔 Be yourself 怕什麼 不需在別人的影子下生活 向前走 不要回頭 下定決心 就不顧一切去做 Be yourself 廢話 從來不囉唆 想要什麼 就自己去追求 Be yourself 不爽就直接說 我管你貓的安怎講
56,this is what falling in love feels like,"Feel like sun, on my skin So this is love I know it is I know I sound super cliché But you make me feel some type of way This is falling, falling in love I got a lot on my mind Got some more on my plate My baby got me looking forward to the end of the day What you say? You and me Just forget about the past, throw it in the trash What you say? You and me Live the life we never had like we're never going back Feel like sun, on my skin So this is love I know it is I know I sound super cliché But you make me feel some type of way This is falling, falling in love I know I sound super cliché But you make me feel some type of way This is falling, falling in love Yeah This is falling, falling in love Ooh, ooh This is falling, falling in love"
57,Kiss,聽說長在嘴裡的寄生蟲 會讓人發瘋 會發瘋 空虛藏在你攻擊的話裡 讓我真的好同情 好同情 不明白沒有錯亂說不太好 別讓自己變得越來越無腦 Come on and give me a kiss I know you really wanna 上帝祂為你瘋狂 撒旦也會心一笑 你說這樣還夠不夠撒嬌 衝突等著你跟我發生 我頭髮白了 都白了 抗拒外在所有的引力 你根本是個龐克 超龐克 不明白沒有錯亂說不太好 別讓自己變得越來越無腦 Come on and give me a kiss I know you really wanna 上帝祂為你瘋狂 撒旦也會心一笑 你說這樣還夠不夠撒嬌 其實也不用再多說 我還是過得很快樂 別浪費時間活在 永無止盡的循環 You're really such a lonely guy Anyway you just made me laugh Come on and give me a kiss I know you really wanna 上帝祂為你瘋狂 撒旦也會心一笑 你說這樣 Come on and give me a kiss I know you really wanna 上帝祂為你瘋狂 撒旦也會心一笑 你說這樣還夠不夠撒嬌
58,我們的歌（中華職棒2016年度主題曲）,誰出生就懂了 要經過多少挫折 雖然不能保證沒事了 因為明天還有未知在等 既然我們不是超人 超人也不會是萬能 但只要堅持就對了 好運來前總有壞事發生 相信他就會有可能 你的手要抓穩了 故事要啟程 勝利就在我們的狂吼聲 然後被人記得 這是我們的歌 代表著永不寂寞的人 你就是最閃耀的靈魂 怕了就別再問 時間只會等勇敢的人 終結你所有的不可能 誰出生就醒了 要經過多少回合 可能會失去些純真 為的不過只是學會生存 如果這都只是過程 應該要留下什麼 才足夠證明我活著 不願這一生就這樣過了 不甘心就不要再等 你的手要抓穩了 故事要啟程 勝利就在我們的狂吼聲 然後被人記得 這是我們的歌 代表著永不寂寞的人 你就是最閃耀的靈魂 怕了就別再問 時間只會等勇敢的人 終結你所有的不可能 這是我們的歌 代表著永不寂寞的人 你就是最閃耀的靈魂 怕了就別再問 時間只留給勇敢的人 終結你所有的不可能 唱著我們的歌 代表你不是孤獨一個 點燃你最閃耀的靈魂 怕了就別再問 時間是永遠不會等人 終結所有畏懼的可能
59,Trash,"Oh maybe, maybe it's the clothes we wear The tasteless bracelets and the dye in our hair Maybe it's our kookiness Or maybe, maybe it's our nowhere towns Our nothing places and our cellophane sounds Maybe it's our looseness But we're trash, you and me We're the litter on the breeze We're the lovers on the streets Just trash, me and you It's in everything we do It's in everything we do Oh maybe, maybe it's the things we say The words we've heard and the music we play Maybe it's our cheapness Or maybe, maybe it's the times we've had The lazy days and the crazes and the fads Maybe it's our sweetness But we're trash, you and me We're the litter on the breeze We're the lovers on the streets Just trash, me and you It's in everything we do It's in everything we do We're trash, you and me We're the lovers on the streets We're the litter on the breeze Just trash, me and you It's in everything we do It's in everything we do We're trash, you and me We're the lovers on the streets We're the litter on the breeze Just trash, me and you"
60,Maniac,"Maniac You were with your friends, partying When the alcohol kicked in Said you wanted me dead So, you showed up at my home, all alone With a shovel and a rose Do you think I'm a joke? 'Cause people like you always want back what they can't have But I'm past that and you know that So you should turn back to your rat pack, tell 'em trash Tell all of your friends that I'm crazy and drive you mad That I'm such a stalker, a watcher, a psychopath Then tell them you hate me and dated me just for laughs So, why do you call me and tell me you want me back? You maniac You maniac (Maniac, some may say that I'm a) You maniac (Maniac, some may say that I'm a) You maniac (Maniac, some may say that I'm a) You just went too far Wrecked your car, called me crying in the dark Now you're breakin' my heart So, I show up at your place right away Wipe the tears off of your face While you beg me to stay Well, people like you always want back what they can't have But I'm past that and you know that So you should turn back to your rat pack, tell 'em trash Tell all of your friends that I'm crazy and drive you mad That I'm such a stalker, a watcher, a psychopath Then tell them you hate me and dated me just for laughs So, why do you call me and tell me you want me back? You maniac You maniac (Maniac, some may say that I'm a) You maniac (Maniac, some may say that I'm a) You maniac (Maniac, some may say that I'm a) Psychopathic, don't be so dramatic We had magic, but you made it tragic Now you're manic, honestly, I've had it Listen to yourself, think you need to get some help Tell all of your friends that I'm crazy and drive you mad That I'm such a stalker, a watcher, a psychopath Then tell them you hate me and dated me just for laughs So, why do you call me and tell me you want me back? You maniac You maniac (Maniac, some may say that I'm a) You maniac (Maniac, some may say that I'm a) You maniac (Maniac, some may say that I'm a)"
61,Hotel Party,"Pineapple raft in the pool, you're my passion fruit We mix that grey with the goose, 'til the night comes through Then we go slip, and slidin', downtown the tension keep climbing 'Cause we on vacation ain't got time to lose There's enough in my cup But not enough of your touch You're pressin' on me, let's rush Ooh, ooh From the cab, to the room, to the bed, come on From the floor, to the wall, to the break of dawn Make it sound like a circus in the suite for two Tell the neighbors, ""I'm sorry, it's a hotel party"" Na-na-na, na-na-na, na-na-na-na, na-na, na (Woo, woo) Na-na-na, na-na-na, na-na-na-na, na-na, na, hey, hey (Woo, woo) Na-na-na, na-na-na, na-na-na-na, na-na, na (Woo, woo) Tell the neighbors, ""I'm sorry, it's a hotel party"" You're lookin' dressed to impress in that birthday suit That black at the desk, we both trashed this room Then we go dip and divin', this California King island I come up for a breath, hit the bell, round two And better when we wake up We can get a quick rush You're pressin' on me, let's rush Ooh, ooh From the cab, to the room, to the bed, come on From the floor, to the wall, to the break of dawn Make it sound like a circus in the suite for two Tell the neighbors, ""I'm sorry, it's a hotel party"" Na-na-na, na-na-na, na-na-na-na, na-na, na (Woo, woo) Na-na-na, na-na-na, na-na-na-na, na-na, na, hey, hey (Woo, woo) Na-na-na, na-na-na, na-na-na-na, na-na, na (Woo, woo) Tell the neighbors, ""I'm sorry, it's a hotel party"" Woo, tell the neighbors, ""I'm sorry, it's a hotel party"" From the cab, to the room, to the bed, come on From the floor, to the wall, to the break of dawn Make it sound like a circus in the suite for two Tell the neighbors, ""I'm sorry, it's a hotel party"" Na-na-na, na-na-na, na-na-na-na, na-na, na (Woo, woo) Na-na-na, na-na-na, na-na-na-na, na-na, na, hey, hey (Woo, woo) Na-na-na, na-na-na, na-na-na-na, na-na, na (Woo, woo) Tell the neighbors, ""I'm sorry, it's a hotel party"""
62,Sucker,告訴我這樣的音樂有沒有搞錯 早受夠你們一成不變的懦弱 沒有錯這裡的一切根本沒理由 永遠就那些沒穿衣服的小丑 究竟這是誰的錯 你讓我好困惑 到底要多久才能夠 讓搖滾樂自由 the f**Kin' sucker a f**Kin' lier the f**Kin' sucker a f**Kin' lier the f**Kin' sucker a f**Kin' lier the f**Kin' sucker 為了錢出賣自由 你到底還擁有什麼 這個惡夢揮之不去只好繼續做 想要抵抗你最好 放手一搏 為了看見未來一群人不知死活 吶喊著不搖就滾再也不回頭 究竟這是誰的錯 你讓我好困惑 到底要多久才能夠 讓搖滾樂自由 the f**Kin' sucker a f**Kin' lier the f**Kin' sucker a f**Kin' lier the fucking sucker a f**Kin' lier the f**Kin' sucker 為了錢出賣自由 你到底還擁有什麼 The f**Kin' sucker... 閉上你的嘴讓我給你一拳 the f**Kin' sucker a f**Kin' lier the f**Kin' sucker a f**Kin' lier the f**Kin' sucker a f**Kin' lier the f**kin' sucker 為了錢出賣自由 你還擁有什麼 為了你自己而活 so we still play the Rock'n'Roll 我知道 我們有點衝動 我知道 我們有點衝動 有些時候沒時間讓我們想太多 未來該怎麼過 要玩就帶種別退縮 不要問這麼多
63,When I Sing the Song,我沒有醉 只是有那麼點憔悴 面對鏡子裡面認不出 是誰 又再一遍 收音機裡熟悉和弦 唱的完美之後喝采 是為了誰 帶我回到那 那人們遺忘的時光 但我已經不再奢望 When I Sing The Song Again 光芒消逝的瞬間 誰能看見我在這裡面 這沒人記得的空間 When I Sing The Song Again 黑暗覆蓋這雙眼 我不知道我無法分辨 那是誰 我不頹廢 只是斷了幾條弦 唱不出我心中需要的 安慰 這個世界 傳唱我寫的音階 也許槍聲能夠喚回 一點尊嚴 我也許嚥不下 嚥不下子彈的渴望 但一切都已沒了辦法 When I Sing The Song Again 光芒消逝的瞬間 誰能看見我在這裡面 這沒人記得的空間 When I Sing The Song Again 黑暗覆蓋這雙眼 我不知道我無法分辨 那是誰 When I Sing The Song Again 光芒消逝的瞬間 誰能看見我在這裡面 這沒人記得的空間 When I Sing The Song Again 黑暗覆蓋這雙眼 我不知道我無法分辨 那是誰 When I Sing The Song Again 不想這麼的狼狽 誰能發現我在裡面 這被人遺棄的空間 When I Sing The Song Again 為什麼總是喝不醉 我不知道我不想分辨 白天黑夜 我到底會是誰 我到底又是誰 我到底會是誰 我到底又是誰
64,0X1=LOVESONG (I Know I Love You) feat. Seori,"I know I love you 이 제로의 세계 속 I know you’re my one and only 이 끝이 없던 어둠 속 Like oh my god, so holy 뭐든 내 두 손끝에선 부리나케 도망가 멀리 My life before you was a mess 언제나 단 한 판 이길 수 없던 체스 Oh we 무저갱의 바닥에서 넌 유1하게 빛나던 gold Now I can't stop thinking bout you When I'm sinking alone 어느 날 내게 나타난 천사 데려가 줘 너의 hometown I know it's real I can feel it 난 문제 투성이 love sick 길이 없었어 죽어도 좋았어 I'm a loser in this game 세계의 유1한 법칙 나를 구해줘 내 손을 잡아줘 Please use me like a drug (I know I love you) Say you love me Say you love me 세계의 끝까지 All or nothing I want all of you (I know I love you) Say you love me Say you love me 세계의 끝까지 All or nothing I give all of you (I know I love you) 아마 난 안될 거야 천국엔 못 갈 거야 난 어울리지 않아 내 자리 따위 천국엔 없어 뭐든 내 두 발끝에선 새까맣게 물들었었지 My life before you was trash 언제나 단 한 발 붙일 수 없던 match Oh we 얼음뿐인 이곳에서 넌 유1하게 빛나던 glow Now I can't stop thinking bout you When I'm sinking alone 그러다 내게 나타난 천사 데려가 줘 너의 hometown I know it's real I can feel it 난 문제 투성이 love sick 길이 없었어 죽어도 좋았어 I'm a losеr in this game 세계의 유1한 법칙 나를 구해줘 내 손을 잡아줘 Please usе me like a drug (I know I love you) 구멍 난 영혼에 살이 돋아 추운 대기가 녹아가 제로의 세계 속에 찾아낸 너라는 온기 내 모두를 거둬가 Girl I need you 난 문제 투성이 love sick 길이 없었어 죽어도 좋았어 I'm a loser in this game 세계의 유1한 법칙 나를 구해줘 내 손을 잡아줘 Please use me like a drug (I know I love you) Say you love me Say you love me 세계의 끝까지 All or nothing I want all of you (I know I love you) Say you love me Say you love me 세계의 끝까지 All or nothing I give all of you (I know I love you)"
65,FourFiveSeconds,"I think I've had enough I might get a little drunk I say what's on my mind I might do a little time Cause all of my kindness Is taken for weakness Now I'm FourFiveSeconds from wildin' And we got three more days 'til Friday I'm just tryna make it back home by Monday mornin' I swear I wish somebody would dare me Ooh, that's all I want Woke up an optimist Sun was shinin', I'm positive Then I heard you was talkin' trash Hold me back, I'm 'bout to spaz Yeah, 'bout FourFiveSeconds from wildin' And we got three more days ‘til Friday I’m tryna make it back home by Monday mornin' I swear I wish somebody would try me Ooh, that’s all I want And I know that you're up tonight Thinkin', ""How could I be so selfish?"" But you called 'bout a thousand times Wondering where I've been Now I know that you're up tonight Thinkin' ""How could I be so reckless?"" But I just can't apologize I hope you can understand If I go to jail tonight Promise you'll pay my bail See they want to buy my pride But that just ain't up for sale See all of my kindness Is taken for weakness Now I'm FourFiveSeconds from wildin' And we got three more days 'til Friday I'm just tryna make it back home by Monday mornin' I swear I wish somebody would tell me Ooh, that's all I want FourFiveSeconds from wildin' And we got three more days 'til Friday I'm just tryna make it back home by Monday mornin' I swear I wish somebody would tell me Cause that's all I want"
66,Ready to go,太多的假設 根本會看不見 答案明明就在我眼前 被誰改變的不敢在冒險 需要個刺激讓自己沸騰 已經不想繼續裝死了 賴在舒適圈 真的會變笨 I’m ready to go 穿越地平線的另一頭 我還要更瘋 每天當最後一天在活 And I’m ready to go 離開的時候 不要太恨我 那不是我想要的生活 你想留就留想走就快走 別在那囉唆 如果人生要照著規則走 不如就當我是一隻瘋狗 聽見遠方聲音在呼喚我 不想要在原地停留 I’m ready to go 穿越地平線的另一頭 我還要更瘋 每天當最後一天在活 沒親眼看見怎麼能說你見識過 沒有燃燒過怎麼能就害怕墮落 就在全部都歸零之後 And I’m ready to go 渴望 超脫以後達到更高的我 想要闖 根本不需要任何理由 不想 繼續軟弱 前方就是出口 管他是天堂還是地獄都要走 我不過 就想嘶吼 想發瘋 你奈何了我 如果不夠太種 就別羨慕我 坐在 最高 最高 的王座 I’m ready to go 穿越地平線的另一頭 我還要更瘋 每天當最後一天在活 沒親眼看見怎麼能說你見識過 沒有燃燒過怎麼能就害怕墜洛 就在全部都歸零之後 就在歸零之後 就在歸零之後 And I’m ready to go Here we go X5
67,Bitter Taste,"作詞：나정아 (Na Jung Ah), Rid Kruger & Haesa (MUMW) 作曲：Noah Barer, Wilson McBeath, Carly Gibert, Aijia Grammer, Hautboi Rich & Rid Kruger 編曲：Noah Barer & Wilson McBeath That's right Dot을 다 지우면 텅 빈 text box You forgot about me, but I'm doin' fine 요즘따라 난 sleeping good (Sleeping good) Just laugh 의미 없는 질문, can we be best friends? 이미 쏟아버린 감정들의 trash bag Yeah, kinda wish we could (Kinda wish we could) Look at your dish (Your dish) 오래돼 부스러진 (-러진) 남은 우리 last piece (Last piece) I can see the future See how you like it, yeah Bite now, bitter taste (Ooh) 한참 지난 plate (Ooh) Better waste that 흘러내린 sweet days, 겨우 긁어모아, try, but now Bitter taste (Bitter taste) 식어버린 past (Yeah) Goin' so bad 단맛 빠진 sweet days, 머금어도 all spoiled, I know (Ooh) It's not all that bad, is it? 쓴맛도 나쁘지는 않지만, now I'm leavin' Addictive dark chocolate boy, you make me tipsy Yeah, I know, made my mind, it's time to move on No, you did your best 맞춤 뭐해, why you gonna take a bitе? We should spit it out 새겨봐도 남은 것이 없잖아 Look at your dish (Your dish) 서로 익숙해져 (-해져) 흥미 없는 last piece (Last piеce) I can see the future See how you like it, yeah Bite now, bitter taste (Ooh) 한참 지난 plate (Ooh) Better waste that (Ooh) 흘러내린 sweet days, 겨우 긁어모아, try, but now Bitter taste (Bitter taste) 식어버린 past (Yeah, yeah) Goin' so bad 단맛 빠진 sweet days, 머금어도 all spoiled, I know (Ooh) Bitter taste (Bitter taste) (Ooh) 한참 지난 plate (Ooh) Better waste that (Ooh) 흘러내린 sweet days, 겨우 긁어모아, try, but now Bitter taste (Bitter taste) 식어버린 past Goin' so bad 단맛 빠진 sweet days, 머금어도 all spoiled, I know (Ooh) Bitter taste"
68,A Beautiful Mess,"You've got the best of both worlds You're the kind of girl who can take down a man And lift him back up again You are strong but you're needy Humble but you're greedy Based on your body language your shouted cursive I've been reading You're style is quite selective though your mind is rather reckless Well I guess it just suggests that this is just what happiness is And what a beautiful mess this is It's like picking up trash in dresses Well it kind of hurts when the kind of words you write Kind of turn themselves into knives And don't mind my nerve you can call it fiction But I like being submerged in your contradictions dear 'Cause here we are, here we are Although you were biased I love your advice Your comebacks they're quick And probably have to do with your insecurities There's no shame in being crazy, Depending on how you take these Words that paraphrasing this relationship we're staging And what a beautiful mess this is It's like, we are picking up trash in dresses Well it kind of hurts when the kind of words you say Kind of turn themselves into blades And the kind and courteous is a life I've heard But it's nice to say that we played in the dirt, oh dear Cause herewe are, here we are Here we are.... We're still here And what a beautiful mess this is It's like taking a guess when the only answer is yes And through timeless words and priceless pictures We'll fly like birds not of this earth And tides they turn and hearts disfigure But that's no concern when we're wounded together And we tore our dresses and stained our shirts But its nice today, oh the wait was so worth it"
69,Boys,"I was busy thinkin’ ‘bout boys, boys, boys Always busy dreamin’ ‘bout boys, boys, boys Head is spinnin’ thinkin’ ‘bout boys I need that bad boy to do me right on a Friday And I need that good one to wake me up on a Sunday That one from work can come over on Monday night I want ‘em all, I want ‘em all And when they finally leave me, I’m all alone but I’m lookin’ down and my girls are blowin’ my phone up Them twenty questions, they askin’ me where I’m at Didn’t hit ‘em back I’m sorry that I missed your party I wish I had a better excuse like I had to trash the hotel lobby But I was busy thinkin’ ‘bout boys, boys, boys Always busy dreamin’ ‘bout boys, boys, boys Head is spinnin’ thinkin’ ‘bout boys In every city I’ve got one with different ringtones Flyin’ from L.A. all the way to Puerto Rico My girls are callin’ me askin’ me where I’m at Didn’t hit ‘em back I’m sorry that I missed your party I wish I had a better excuse But I can't even lie you got me I was busy thinkin’ ‘bout boys, boys, boys Always busy dreamin’ ‘bout boys, boys, boys Head is spinnin’ thinkin’ ‘bout boys Don’t be mad, don’t be mad at me (No, no, no, no) Darling, I can’t stop it even if I wanted Don’t be mad, don’t be mad at me (No, no, no, no) Missed what you were sayin’, I was miles away, yeah Don’t be mad, don’t be mad Not like I had a choice I was busy thinkin’ ‘bout boys, boys, boys I was busy dreamin’ ‘bout boys, boys, boys I was busy thinkin’ ‘bout boys, boys, boys Always busy dreamin’ ‘bout boys, boys, boys Head is spinnin’ thinkin’ ‘bout boys"
