UNIQID	variance	skewness	curtosis	entropy
r798	-3.2238	2.7935	0.32274	-0.86078
r1050	-3.7747	2.5162	0.83341	-0.30993
r1164	-3.8053	2.4273	0.6809	-1.0871
r1286	-3.9933	2.6218	0.62863	-1.1595
r1225	-4.0679	2.4955	0.79571	-1.1039
r928	-3.9172	2.6652	0.78886	-0.7819
r1111	-4.1429	2.7749	0.68261	-0.71984
r1355	-4.0786	2.9239	0.87026	-0.65389
r989	-4.577	3.4515	0.66719	-0.94742
r867	-4.4996	3.4288	0.56265	-1.1672
r806	-4.2932	3.3419	0.77258	-0.99785
r1294	-4.9447	3.3005	1.063	-1.444
r1172	-4.7462	3.1205	1.075	-1.2966
r1233	-4.9462	3.5716	0.82742	-1.4957
r1347	-2.9786	2.3445	0.52667	-0.40173
r1042	-2.7028	1.6327	0.83598	-0.091393
r1103	-3.0193	1.7775	0.73745	-0.45346
r920	-2.8833	1.7713	0.68946	-0.4638
r1325	-1.2943	2.6735	-0.84085	-2.0323
r776	-1.8215	2.7521	-0.72261	-2.353
r1081	-1.3946	2.3134	-0.44499	-1.4905
r1020	-1.2792	2.1376	-0.47584	-1.3974
r898	-1.4446	2.1438	-0.47241	-1.6677
r1011	-2.2677	3.2964	-2.2563	-2.4642
r828	-2.2482	3.0915	-2.3969	-2.6711
r1255	-2.1652	3.0211	-2.4132	-2.4241
r1194	-1.9725	2.8825	-2.3086	-2.3724
r1316	-1.2667	2.8183	-2.426	-1.8862
r1133	-1.7063	2.7956	-2.378	-2.3491
r767	-1.7582	2.7397	-2.5323	-2.234
r950	-1.6936	2.7852	-2.1835	-1.9276
r1072	-1.7064	3.3088	-2.2829	-2.1978
r889	-1.6637	3.2881	-2.2701	-2.2224
r1310	-1.1188	3.3357	-1.3455	-1.9573
r761	-1.3971	3.3191	-1.3927	-1.9948
r1066	-0.82601	2.9611	-1.2864	-1.4647
r1005	-0.98193	2.7956	-1.2341	-1.5668
r883	-1.0112	2.9984	-1.1664	-1.6185
r1317	-0.49281	3.0605	-1.8356	-2.834
r768	-0.89409	3.1991	-1.8219	-2.9452
r1073	-0.41965	2.9094	-1.7859	-2.2069
r1012	-0.50816	2.868	-1.8108	-2.2612
r890	-0.55008	2.8659	-1.6488	-2.4319
r1195	-2.0149	3.6874	-1.9385	-3.8918
r1256	-1.8974	3.5074	-1.7842	-3.8491
r951	-1.2846	3.2715	-1.7671	-3.2608
r829	-1.4427	3.2922	-1.9702	-3.4392
r1134	-1.6386	3.3584	-1.7302	-3.5646
r1249	-2.4365	3.6026	-1.4166	-2.8948
r1188	-2.4941	3.5447	-1.3721	-2.8483
r1127	-2.1802	3.3791	-1.2256	-2.6621
r822	-1.979	3.2301	-1.3575	-2.5819
r944	-1.7697	3.4329	-1.2144	-2.3789
r1142	-2.4621	2.7645	-0.62578	-2.8573
r959	-2.2501	3.3129	-0.88369	-2.8974
r837	-2.3211	3.166	-1.0002	-2.7151
r1264	-2.5463	3.1101	-0.83228	-3.0358
r1203	-2.7723	3.2777	-0.9351	-3.1457
r214	6.0919	2.9673	-1.3267	1.4551
r593	5.2032	3.5116	-1.2538	1.0129
r607	5.086	3.2798	-1.2701	1.1189
r252	5.2868	3.257	-1.3721	1.1668
r63	5.4021	3.1039	-1.1536	1.5651
r707	5.1731	3.9606	-1.983	0.40774
r663	5.3586	3.7557	-1.7345	1.0789
r159	5.0452	3.8964	-1.4304	0.86291
r50	5.262	3.9834	-1.5572	1.0103
r141	4.1736	3.3336	-1.4244	0.60429
r37	4.5679	3.1929	-2.1055	0.29653
r633	6.8248	5.2187	-2.5425	0.5461
r512	5.9374	6.1664	-2.5905	-0.36553
r514	5.8782	5.9409	-2.8544	-0.60863
r198	5.8862	5.8747	-2.8167	-0.30087
r529	5.7227	5.8312	-2.4097	-0.24527
r689	5.8519	5.3905	-2.4037	-0.061652
r363	5.7823	5.5788	-2.4089	-0.056479
r315	5.7353	5.2808	-2.2598	0.075416
r56	5.807	5.0097	-2.2384	0.43878
r205	5.3063	5.2684	-2.8904	-0.52716
r53	4.9264	5.496	-2.4774	-0.50648
r513	2.0153	1.8479	3.1375	0.42843
r455	2.0007	1.8644	2.6491	0.47369
r709	2.4012	1.6223	3.0312	0.71679
r531	2.5227	2.2369	2.7236	0.79438
r478	2.0962	2.4769	1.9379	-0.040962
r234	2.0466	2.03	2.1761	-0.083634
r173	1.8799	2.4707	2.4931	0.37671
r658	2.1881	2.7356	1.3278	-0.1832
r756	2.6606	3.1681	1.9619	0.18662
r713	2.5559	3.3605	2.0321	0.26809
r318	2.9499	2.2493	1.3458	-0.037083
r733	2.7961	2.121	1.8385	0.38317
r258	3.0329	2.2948	2.1135	0.35084
r600	2.5581	2.6218	1.8513	0.40257
r64	2.5367	2.599	2.0938	0.20085
r500	1.2999	2.5762	2.0107	-0.18967
r329	1.0607	2.4542	2.5188	-0.17027
r744	0.75736	3.0294	2.9164	-0.068117
r311	1.5902	2.2948	3.2403	0.18404
r328	1.6988	2.9094	2.9044	0.11033
r48	1.6349	3.286	2.8753	0.087054
r78	1.1317	3.9647	3.3979	0.84351
r30	1.4884	3.6274	3.308	0.48921
r336	1.0191	2.33	4.9334	0.82929
r212	0.68087	2.3259	4.9085	0.54998
r224	1.3562	3.2136	4.3465	0.78662
r591	0.95626	2.4728	4.4578	0.21636
r456	0.64215	3.1287	4.2933	0.64696
r287	0.44125	2.9487	4.3225	0.7155
r381	0.86202	2.6963	4.2908	0.54739
r16	0.80355	2.8473	4.3439	0.6017
r757	3.931	1.8541	-0.023425	1.2314
r538	4.2475	1.4816	-0.48355	0.95343
r228	5.4944	1.5478	0.041694	1.9284
r483	4.7432	2.1086	0.1368	1.6543
r754	4.7114	2.0755	-0.2702	1.2379
r268	4.9342	2.4107	-0.17594	1.6245
r438	4.7285	2.1065	-0.28305	1.5625
r204	4.8077	2.2327	-0.26334	1.5534
r742	4.7926	1.7071	-0.051701	1.4926
r163	4.8851	1.5995	-2.9081E-4	1.6401
r127	4.6689	1.3098	0.055404	1.909
r677	2.4673	1.3926	1.7125	0.41421
r368	2.1948	1.3781	1.1582	0.85774
r95	2.9543	1.076	0.64577	0.89394
r412	3.4769	-0.15314	2.53	2.4495
r539	3.9772	0.33521	2.2566	2.1625
r474	3.8213	0.23175	2.0133	2.0564
r117	2.8969	0.70768	2.29	1.8663
r548	3.5288	0.71596	1.9507	1.9375
r439	3.4359	0.66216	2.1041	1.8922
r323	3.5257	1.2829	1.9276	1.7991
r620	3.3951	1.1484	2.1401	2.0862
r104	3.5438	1.2395	1.997	2.1547
r397	4.3937	0.35798	2.0416	1.2004
r271	4.4072	-0.070365	2.0416	1.1319
r705	3.5829	1.4423	1.0219	1.4008
r527	3.6244	1.4609	1.3501	1.9284
r331	3.5594	1.3078	1.291	1.6556
r668	4.3634	0.46351	1.4281	2.0202
r237	3.9994	0.90427	1.1693	1.6892
r145	3.8584	0.78425	1.1033	1.7008
r410	4.0047	0.45937	1.3621	1.6181
r70	4.1373	0.49248	1.093	1.8276
r549	3.9719	1.0367	0.75973	1.0013
r543	4.2458	1.1981	0.66633	0.94696
r407	4.223	1.1319	0.72202	0.96118
r569	3.9382	0.9291	0.78543	0.6767
r213	4.1962	0.74493	0.83256	0.753
r257	3.744	0.79459	0.95851	1.0077
r147	3.6277	0.9829	0.68861	0.63403
r581	4.0552	0.40143	1.4563	0.65343
r345	4.0972	0.46972	1.6671	0.91593
r556	4.0405	0.51524	1.0279	1.106
r341	4.0329	0.23175	0.89082	1.1823
r103	4.2027	0.22761	0.96108	0.97282
r612	4.9249	0.68906	0.77344	1.2095
r54	4.8265	0.80287	1.6371	1.1875
r364	3.8999	1.734	1.6011	0.96765
r333	3.9294	1.4112	1.8076	0.89782
r93	3.2718	1.7837	2.1161	0.61334
r759	3.2414	0.40971	1.4015	1.1952
r362	2.805	0.57732	1.3424	1.2133
r128	3.4663	1.1112	1.7425	1.3388
r88	3.8027	0.81529	2.1041	1.0245
r346	3.3299	0.91254	1.5806	0.39352
r627	3.5251	0.7201	1.6928	0.64438
r36	3.6289	0.81322	1.6277	0.77627
r502	4.9294	0.27727	0.20792	0.33662
r463	5.7403	-0.44284	0.38015	1.3763
r641	5.1321	-0.031048	0.32616	1.1151
r273	5.2756	0.13863	0.12138	1.1435
r719	5.2012	0.32694	0.17965	1.1797
r151	5.0691	0.21313	0.20278	1.2095
r507	5.0617	-0.35799	0.44698	0.99868
r621	5.0429	-0.52974	0.50439	1.106
r101	5.1129	-0.49871	0.62863	1.1189
r427	3.4246	-0.14693	0.80342	0.29136
r639	4.1665	-0.4449	0.23448	0.27843
r275	4.052	-0.16555	0.45383	0.51248
r114	2.5331	2.9135	-0.822	-0.12243
r617	1.8592	3.2074	-0.15966	-0.26208
r215	1.3234	3.2964	0.2362	-0.11984
r179	1.6426	3.0149	0.22849	-0.147
r554	2.2893	3.733	0.6312	-0.39786
r289	2.5678	3.5136	0.61406	-0.40691
r629	2.5989	3.5178	0.7623	0.81119
r760	2.2504	3.5757	0.35273	0.2836
r74	2.3066	3.5364	0.57551	0.41938
r445	2.4527	2.9653	0.20021	-0.056479
r260	3.1557	2.8908	0.59693	0.79825
r488	2.8237	2.8597	0.19678	0.57196
r233	2.7296	2.8701	0.51124	0.5099
r395	2.6799	3.1349	0.34073	0.58489
r15	2.6719	3.0646	0.37158	0.58619
r708	3.2692	3.4184	0.20706	-0.066824
r367	3.4985	3.1639	0.22677	-0.1651
r540	3.6667	4.302	0.55923	0.33791
r335	3.966	3.9213	0.70574	0.33662
r499	3.8644	3.7061	0.70403	0.35214
r90	4.0632	3.584	0.72545	0.39481
r567	4.3435	3.3295	0.83598	0.64955
r192	4.8272	3.0687	0.68604	0.80731
r378	4.2772	2.4955	0.48554	0.36119
r324	4.4549	2.4976	1.0313	0.96894
r80	4.4682	2.2907	0.95766	0.83058
r646	3.7791	2.5762	1.3098	0.5655
r510	3.9433	2.5017	1.5215	0.903
r509	3.577	2.4004	1.8908	0.73231
r360	3.3848	3.2674	0.90967	0.25128
r347	3.1088	3.1122	0.80857	0.4336
r446	3.9121	2.9735	0.92852	0.60558
r84	4.0296	2.6756	0.80685	0.71679
r679	3.4465	2.9508	1.0271	0.5461
r653	3.5127	2.9073	1.0579	0.40774
r602	3.7635	2.7811	0.66119	0.34179
r442	3.6702	2.9942	0.85141	0.30688
r5	3.5912	3.0129	0.72888	0.56421
r521	0.52855	0.96427	4.0243	-1.0483
r29	-0.24811	-0.17797	4.9068	0.15429
r537	0.72252	-0.053811	5.6703	-1.3509
r747	0.85574	0.0082678	6.6042	-0.53104
r399	1.3049	-0.15521	6.4911	-0.75346
r379	1.5099	0.039307	6.2332	-0.30346
r479	0.94732	-0.57113	7.1903	-0.67587
r416	1.1518	1.3864	5.2727	-0.43536
r748	0.88298	0.66009	6.0096	-0.43277
r221	1.0987	0.6394	5.989	-0.58277
r297	1.143	0.83391	5.4552	-0.56984
r665	1.2262	0.89599	5.7568	-0.11596
r216	1.3264	1.0326	5.6566	-0.41337
r577	2.1752	-0.8091	5.1022	-0.67975
r208	2.1721	-0.73874	5.4672	-0.72371
r246	2.0597	-0.99326	5.2119	-0.29312
r154	2.486	-0.99533	5.3404	-0.15475
r626	2.0153	0.43661	4.5864	-0.3151
r292	1.934	-9.2828E-6	4.816	-0.33967
r231	2.2596	-0.033118	4.7355	-0.2776
r140	1.7317	-0.34765	4.1905	-0.99138
r293	2.5068	1.1588	3.9249	0.12585
r535	2.7659	0.66216	4.1494	-0.28406
r59	2.888	0.44696	4.5907	-0.24398
r718	1.7748	-0.76978	5.5854	1.3039
r558	2.0165	-0.25246	5.1707	1.0763
r146	1.7496	-0.1759	5.1827	1.2922
r191	1.4578	-0.08485	4.1785	0.59136
r630	1.8994	0.97462	4.2265	0.81377
r330	2.0421	1.2436	4.2171	0.90429
r753	2.3969	0.23589	4.8477	1.437
r409	1.941	0.46351	4.6472	1.0879
r245	1.6472	0.48213	4.7449	1.225
r563	2.0193	0.82356	4.6369	1.4202
r139	2.0911	0.94358	4.5512	1.234
r592	-2.7914	1.7734	6.7756	-0.39915
r321	-1.7344	2.0175	7.7618	0.93532
r611	-1.1391	1.8127	6.9144	0.70127
r417	-1.2576	1.5892	7.0078	0.42455
r229	-1.3389	1.552	7.0806	1.031
r122	-1.5075	1.9224	7.1466	0.89136
r420	-1.1497	1.2954	7.701	0.62627
r240	-1.3931	1.5664	7.5382	0.78403
r85	-1.1313	1.9037	7.5339	1.022
r171	-1.6952	1.0657	8.8294	0.94955
r33	-1.6162	0.80908	8.1628	0.60817
r728	-0.95923	0.091039	6.2204	-1.4828
r373	-1.5055	0.070346	6.8681	-0.50648
r477	-1.7781	0.8546	7.1303	0.027572
r180	-0.11783	-1.5789	8.03	-0.028031
r496	-0.048008	-1.6037	8.4756	0.75558
r177	-0.13144	-1.7775	8.3316	0.35214
r648	-0.38388	-1.0471	8.0514	0.49567
r282	0.3223	-0.89808	8.0883	0.69222
r666	-0.048008	-0.56078	7.7215	0.453
r560	-0.33729	-0.64976	7.6659	0.72326
r536	-0.10648	-0.76771	7.7575	0.64179
r279	0.20977	-0.46146	7.7267	0.90946
r232	0.46901	-0.63321	7.3848	0.36507
r720	-0.45062	-1.3678	7.0858	-0.40303
r1092	0.74428	-3.7723	1.6131	1.5754
r909	0.55298	-3.4619	1.7048	1.1008
r1031	0.16358	-3.3584	1.3749	1.3569
r1336	0.2346	-4.5152	2.1195	1.4448
r970	0.0031201	-4.0061	1.7956	0.91722
r848	-0.60975	-4.002	1.8471	0.6017
r1153	-0.36025	-4.449	2.1067	0.94308
r787	-0.47465	-4.3496	1.9901	0.7517
r1214	-0.71494	-4.4448	2.2241	0.49826
r1275	-0.89809	-4.4862	2.2009	0.50731
r1021	-0.66008	-3.226	3.8058	1.1836
r899	-0.65767	-2.8018	3.7115	0.99739
r1082	-0.69879	-3.3771	4.1211	1.5043
r1057	-1.5621	-2.2121	4.2591	0.27972
r935	-1.2786	-2.4087	4.5735	0.47627
r1118	-1.4375	-1.8624	4.026	0.55127
r670	0.51947	-3.2633	3.0895	-0.98492
r715	0.5195	-3.2633	3.0895	-0.9849
r350	0.5195	-3.2633	3.0895	-0.9849
r319	0.5195	-3.2633	3.0895	-0.9849
r144	0.5195	-3.2633	3.0895	-0.9849
r267	0.9297	-3.7971	4.6429	-0.2957
r189	0.9297	-3.7971	4.6429	-0.2957
r118	0.9297	-3.7971	4.6429	-0.2957
r25	1.1432	-3.7413	5.5777	-0.63578
r351	0.3292	-4.4552	4.5718	-0.9888
r314	0.3292	-4.4552	4.5718	-0.9888
r299	0.3292	-4.4552	4.5718	-0.9888
r20	0.3292	-4.4552	4.5718	-0.9888
r3	0.32924	-4.4552	4.5718	-0.9888
r634	1.8967	-2.5163	2.8093	-0.79742
r522	2.1319	-2.0403	2.5574	-0.061652
r671	2.3164	-2.628	3.1529	-0.08622
r62	1.7939	-1.1174	1.5454	-0.26079
r697	3.2403	-3.7082	5.2804	0.41291
r490	3.0632	-3.3315	5.1305	0.8267
r749	4.0422	-4.391	4.7466	1.137
r701	3.7522	-3.6978	3.9943	1.3051
r414	3.8023	-3.8696	4.044	0.95343
r631	3.6941	-3.9482	4.2625	1.1577
r449	3.6922	-3.9585	4.3439	1.3517
r334	3.4667	-4.0724	4.2882	1.5418
r495	3.3756	-4.0951	4.367	1.0698
r57	3.1377	-4.1096	4.5701	0.98963
r157	2.2634	-4.4862	3.6558	-0.61251
r570	2.2517	-5.1422	4.2916	-1.2487
r628	3.757	-5.4236	3.8255	-1.2526
r99	3.3669	-5.1856	3.6935	-1.1427
r546	3.4647	-3.9172	3.9746	0.36119
r200	4.0026	-3.5943	3.5573	0.26809
r681	3.7321	-3.884	3.3577	-0.0060486
r174	3.583	-3.7971	3.4391	-0.12501
r359	2.7161	-4.2006	4.1914	0.16981
r552	3.0672	-4.4117	3.8238	-0.81682
r281	2.877	-4.0599	3.6259	-0.32544
r669	3.482	-4.1634	3.5008	-0.078462
r619	3.4626	-4.449	3.5427	0.15429
r185	3.2585	-4.4614	3.8024	-0.15087
r129	3.2697	-4.3414	3.6884	-0.29829
r102	3.3397	-4.6145	3.9823	-0.23751
r370	4.1529	-3.9358	2.8633	-0.017686
r156	3.9479	-3.7723	2.883	0.019813
r187	4.5645	-3.6275	2.8684	0.27714
r65	4.6054	-4.0765	2.7587	0.31981
r584	4.3398	-5.3036	3.8803	-0.70432
r310	5.0297	-4.9704	3.5025	-0.23751
r706	4.65	-4.8297	3.4553	-0.25174
r557	4.3846	-4.8794	3.3662	-0.029324
r249	4.5691	-4.4552	3.1769	0.0042961
r109	3.9922	-4.4676	3.7304	-0.1095
r576	3.8962	-4.7904	3.3954	-0.53751
r544	4.1038	-4.8069	3.3491	-0.49225
r49	4.3239	-4.8835	3.4356	-0.5776
r457	4.3848	-3.0729	3.0423	1.2741
r589	4.6352	-3.0087	2.6773	1.212
r386	4.6361	-2.6611	2.8358	1.1991
r100	4.5597	-2.4211	2.6413	1.6168
r254	4.1425	-3.6792	3.8281	1.6297
r448	3.9414	-3.2902	3.1674	1.0866
r142	3.9232	-3.2467	3.4579	0.83705
r682	4.3365	-3.584	3.6884	0.74912
r72	4.1654	-3.4495	3.643	1.0879
r28	4.8906	-3.3584	3.4202	1.0905
r14	4.6765	-3.3895	3.4896	1.4771
r643	3.0333	-2.5928	2.3183	0.303
r402	3.0864	-2.5845	2.2309	0.30947
r255	3.0934	-2.9177	2.2232	0.22283
r227	3.1219	-3.137	1.9259	-0.37458
r688	3.0242	-3.3378	2.5865	-0.54785
r444	3.1887	-3.4143	2.7742	-0.2026
r724	3.6181	-3.7454	2.8273	-0.71208
r236	3.8905	-2.1521	2.6302	1.1047
r197	4.0215	-2.1914	2.4648	1.1409
r632	4.4295	-2.3507	1.7048	0.90946
r517	4.2406	-2.4852	1.608	0.7155
r69	3.9529	-2.3548	2.3792	0.48274
r659	4.2756	-2.6528	2.1375	0.94437
r170	4.0552	-2.4583	2.2806	1.0323
r244	4.2134	-2.806	2.0116	0.67412
r87	4.1197	-2.7956	2.0707	0.67412
r624	4.0948	-2.9674	2.3689	0.75429
r10	3.9899	-2.7066	2.3946	0.86291
r704	4.364	-3.1039	2.3757	0.78532
r651	4.6439	-3.3729	2.5976	0.55257
r740	3.5862	-3.0957	2.8093	0.24481
r662	3.7798	-3.3109	2.6491	0.066365
r732	3.8244	-3.1081	2.4537	0.52024
r638	3.8846	-3.0336	2.5334	0.20214
r309	4.0215	-2.7004	2.4957	0.36636
r598	3.9292	-2.9156	2.2129	0.30817
r280	4.068	-2.9363	2.1992	0.50084
r164	4.1927	-3.2674	2.5839	0.21766
r126	3.7818	-2.8846	2.2558	-0.15734
r1	3.866	-2.6383	1.9242	0.10645
r348	-4.2859	8.5234	3.1392	-0.91639
r866	-6.5084	8.7696	0.23191	-3.937
r988	-6.7526	8.8172	-0.061983	-3.725
r805	-6.2003	8.6806	0.0091344	-3.703
r1354	-6.1632	8.7096	-0.21621	-3.6345
r1171	-6.9599	8.9931	0.2182	-4.572
r1232	-7.0421	9.2	0.25933	-4.6832
r1293	-7.0364	9.2931	0.16594	-4.5396
r1110	-6.3679	8.0102	0.4247	-3.2207
r927	-6.1536	7.9295	0.61663	-3.2646
r1049	-5.8818	7.6584	0.5558	-2.9155
r1041	-5.1661	8.0433	0.044265	-4.4983
r1102	-5.637	8.1261	0.13081	-5.0142
r919	-5.4808	8.1819	0.27818	-5.0323
r858	-5.873	9.1752	-0.27448	-6.0422
r980	-6.0598	9.2952	-0.43642	-6.3694
r797	-5.4901	9.1048	-0.38758	-5.9763
r1346	-5.3857	9.1214	-0.41929	-5.9181
r1163	-6.3364	9.2848	0.014275	-6.7844
r1285	-6.4247	9.5311	0.022844	-6.8517
r1224	-6.5235	9.6014	-0.25392	-6.9642
r973	-5.0301	7.5032	-0.13396	-7.5034
r1156	-5.2049	7.259	0.070827	-7.3004
r1278	-5.3012	7.3915	0.029699	-7.3987
r1217	-5.4414	7.2363	0.10938	-7.5642
r851	-4.8861	7.0542	-0.17252	-6.959
r790	-4.4779	7.3708	-0.31218	-6.7754
r1339	-4.1479	7.1225	-0.083404	-6.4172
r897	-5.2406	6.6258	-0.19908	-6.8607
r1019	-4.8392	6.6755	-0.24278	-6.5775
r1080	-5.119	6.6486	-0.049987	-6.5206
r1263	-6.651	6.7934	0.68604	-7.5887
r1141	-6.5773	6.8017	0.85483	-7.5344
r1202	-6.7387	6.9879	0.67833	-7.5887
r836	-6.2815	6.6651	0.52581	-7.0107
r958	-6.3979	6.4479	1.0836	-6.6176
r775	-5.9034	6.5679	0.67661	-6.6797
r1324	-5.525	6.3258	0.89768	-6.6241
r464	-2.6989	12.1984	0.67661	-8.5482
r580	-1.9667	11.8052	-0.40472	-7.8719
r393	-2.2623	12.1177	0.28846	-7.7581
r290	-2.2153	11.9625	0.078538	-7.7853
r739	-2.4473	12.6247	0.73573	-7.6612
r561	-2.4604	12.7302	0.91738	-7.6418
r193	-2.341	12.3784	0.70403	-7.5836
r528	-1.3885	12.5026	0.69118	-7.5487
r605	-1.4275	11.8797	0.41613	-6.9978
r542	-1.4217	11.6542	-0.057699	-7.1025
r340	-1.1804	11.5093	0.15565	-6.8194
r58	-0.78289	11.3603	-0.37644	-7.0495
r349	-1.2528	10.2036	2.1787	-5.6038
r172	-1.1193	10.7271	2.0938	-5.6504
r133	-1.0401	9.3987	0.85998	-5.3336
r123	-0.91718	9.9884	1.1804	-5.2263
r235	-1.3274	9.498	2.4408	-5.2689
r121	-1.4572	9.1214	1.7425	-5.1241
r32	-0.96511	9.4111	1.7305	-4.8629
r515	-2.3983	12.606	2.9464	-5.7888
r125	-2.343	12.9516	3.3285	-5.9426
r358	-2.3242	11.5176	1.8231	-5.375
r167	-1.803	11.8818	2.0458	-5.2728
r98	-2.7419	11.4038	2.5394	-5.5793
r230	-2.3361	11.9604	3.0835	-5.4435
r376	-1.9922	11.6542	2.6542	-5.2107
r183	-1.7559	11.9459	3.0946	-4.8978
r683	-2.0759	10.8223	2.6439	-4.837
r672	-1.8348	11.0334	3.1863	-4.8888
r425	-1.5222	10.8409	2.7827	-4.0974
r184	-1.2537	10.8803	1.931	-4.3237
r419	-2.484	12.1611	2.8204	-3.7418
r219	-2.2261	12.5398	2.9438	-3.5258
r387	-2.2527	11.5321	2.5899	-3.2737
r302	-1.9177	11.6894	2.5454	-3.2763
r150	-1.7599	11.9211	2.6756	-3.3241
r731	-2.7143	11.4535	2.1092	-3.9629
r462	-1.9458	11.2217	1.9079	-3.4405
r385	-2.4953	11.1472	1.9353	-3.4638
r199	-2.0897	10.8265	2.3603	-3.4198
r655	-1.3612	10.694	1.7022	-2.9026
r491	-1.8411	10.8306	2.769	-3.0901
r12	-1.5768	10.843	2.5462	-2.9362
r726	-2.6479	10.1374	-1.331	-5.4707
r603	-2.6479	10.1374	-1.331	-5.4707
r226	-2.6479	10.1374	-1.331	-5.4707
r426	-1.3	10.2678	-2.953	-5.8638
r283	-1.3	10.2678	-2.953	-5.8638
r218	-1.3	10.2678	-2.953	-5.8638
r201	-0.78689	9.5663	-3.7867	-7.5034
r46	-0.7869	9.5663	-3.7867	-7.5034
r44	-0.7869	9.5663	-3.7867	-7.5034
r676	0.25035	9.3262	-3.6873	-6.2543
r175	0.19081	9.1297	-3.725	-5.8224
r614	-0.2062	9.2207	-3.7044	-6.8103
r138	-0.2062	9.2207	-3.7044	-6.8103
r40	-0.2062	9.2207	-3.7044	-6.8103
r494	-0.12624	10.3216	-3.7121	-6.1185
r405	0.14783	7.946	1.0742	-3.3409
r217	-0.16735	7.6274	1.2061	-3.6241
r481	0.0071249	8.3661	0.50781	-3.8155
r161	0.17346	7.8695	0.26876	-3.7883
r482	0.96788	7.1907	1.2798	-2.4565
r618	0.56953	7.6294	1.5754	-3.2233
r404	0.58982	7.4266	1.2353	-2.9595
r487	1.1315	7.9212	1.093	-2.8444
r735	-0.7056	8.7241	2.2215	-4.5965
r181	-0.69572	8.6165	1.8419	-4.3289
r609	-0.2361	9.3221	2.1307	-4.3793
r758	0.01727	8.693	1.3989	-3.9668
r725	0.040498	8.5234	1.4461	-3.9306
r422	-0.12196	8.8068	0.94566	-4.2267
r354	-0.21661	8.0329	1.8848	-3.8853
r26	-0.38214	8.3909	2.1624	-3.7405
r305	0.27451	9.2186	-3.2863	-4.8448
r520	0.81356	9.1566	-2.1492	-4.1814
r374	0.58836	10.7727	-1.3884	-4.3276
r371	0.74307	11.17	-1.3824	-4.0728
r694	0.49571	10.2243	-1.097	-4.0159
r575	0.32444	10.067	-1.1982	-4.1284
r645	1.162	10.2926	-1.2821	-4.0392
r383	0.54777	10.3754	-1.5435	-4.1633
r440	0.86816	10.2429	-1.4912	-4.0082
r342	0.66018	10.3878	-1.4029	-3.9151
r286	0.89606	10.5471	-1.4175	-4.0327
r250	0.57461	10.1105	-1.6917	-4.3922
r389	-0.36279	8.2895	-1.9213	-3.3332
r656	-0.278	8.1881	-3.1338	-2.5276
r616	-0.278	8.1881	-3.1338	-2.5276
r587	-0.27802	8.1881	-3.1338	-2.5276
r168	0.11739	6.2761	-1.5495	-2.4746
r166	1.0235	6.901	-2.0062	-2.7125
r295	0.051979	7.0521	-2.0541	-3.1508
r344	-1.8584	7.886	-1.6643	-1.8384
r194	-1.8584	7.886	-1.6643	-1.8384
r106	-1.8584	7.886	-1.6643	-1.8384
r574	2.6104	8.0081	-0.23592	-1.7608
r565	2.6415	7.586	-0.28562	-1.6677
r384	2.3718	7.4908	0.015989	-1.7414
r207	2.1059	7.6046	-0.47755	-1.8461
r594	3.1836	7.2321	-1.0713	-2.5909
r716	2.9856	7.2673	-0.409	-2.2431
r472	2.8209	7.3108	-0.81857	-1.8784
r366	3.2294	7.7391	-0.37816	-2.5405
r526	2.5328	7.528	-0.41929	-2.6478
r148	2.7391	7.4018	0.071684	-2.5302
r261	1.8114	7.6067	-0.9788	-2.4668
r525	2.2091	7.4556	-1.3284	-3.3021
r695	1.645	7.8612	-0.87598	-3.5569
r585	1.5456	8.5482	0.4187	-2.1784
r564	1.5701	7.9129	0.29018	-2.1953
r555	1.5673	7.9274	-0.056842	-2.1694
r296	1.2706	8.035	-0.19651	-2.1888
r153	1.9358	8.1654	-0.023425	-2.2586
r597	1.105	7.4432	0.41099	-3.0332
r67	1.0009	7.7846	-0.28219	-2.6608
r750	2.2546	8.0992	-0.24877	-3.2698
r505	2.093	8.3061	0.022844	-3.2724
r278	1.9265	7.7557	-0.16823	-3.0771
r82	1.8664	7.7763	-0.23849	-2.9634
r11	1.8993	7.6625	0.15394	-3.1108
r304	1.0284	9.767	-1.3687	-1.7853
r737	0.92703	9.4318	-0.66263	-1.6728
r730	1.0182	9.109	-0.62064	-1.7129
r469	0.87256	9.2931	-0.7843	-2.1978
r251	0.5734	9.1938	-0.9094	-1.872
r741	0.66191	9.6594	-0.28819	-1.6638
r649	0.21084	9.4359	-0.094543	-1.859
r265	-0.016103	9.7484	0.15394	-1.6134
r68	0.12326	8.9848	-0.9351	-2.4332
r508	-0.2951	9.0489	-0.52725	-2.0789
r41	-0.0068919	9.2931	-0.41243	-1.9638
r277	0.89566	7.7763	-2.7473	-1.9353
r89	1.4806	7.6377	-2.7876	-1.0341
r586	1.4276	8.3847	-2.0995	-1.9677
r248	1.0135	8.4551	-1.672	-2.0815
r692	1.5478	9.1814	-1.6326	-1.7375
r301	1.6849	8.7489	-1.2641	-1.3858
r451	0.77124	9.0862	-1.2281	-1.4996
r165	1.1166	8.6496	-0.96252	-1.8112
r588	0.93611	8.6413	-1.6351	-1.3043
r604	1.0652	8.3682	-1.4004	-1.6509
r459	0.96574	8.393	-1.361	-1.4659
